venue,matches_played,city,likely_country,country,how,confidence
Buffalo Park,8,East London,South Africa,South Africa,agree,high
Mannofield Park,8,Aberdeen,Scotland,Scotland,uk,high
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,8,Visakhapatnam,India,India,agree,high
R.Premadasa Stadium,8,Colombo,Sri Lanka,Sri Lanka,agree,high
Nehru Stadium,8,Pune,India,India,agree,high
Castle Avenue,8,,Ireland,Ireland,agree,high
M Chinnaswamy Stadium,8,,India,India,agree,high
Kingsmead,8,,South Africa,South Africa,agree,high
County Ground,8,,England,England,uk,high
The Wanderers Stadium,7,Johannesburg,South Africa,South Africa,agree,high
Allan Border Field,7,Brisbane,Australia,Australia,agree,high
Bert Sutcliffe Oval,7,Lincoln,New Zealand,New Zealand,agree,high
Buffalo Park,7,,South Africa,South Africa,agree,high
Grange Cricket Club Ground,7,Edinburgh,Scotland,Scotland,uk,high
Newlands,7,,South Africa,South Africa,agree,high
Riverside Ground,7,,England,England,uk,high
University Oval,7,,New Zealand,New Zealand,agree,high
Galle International Stadium,7,Galle,Sri Lanka,Sri Lanka,agree,high
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,7,,India,India,agree,high
Maharashtra Cricket Association Stadium,7,Pune,India,India,agree,high
Sylhet International Cricket Stadium,7,Sylhet,Bangladesh,Bangladesh,agree,high
Mahinda Rajapaksa International Cricket Stadium,6,Hambantota,Sri Lanka,Sri Lanka,agree,high
Allan Border Field,6,,Australia,Australia,agree,high
Diamond Oval,6,Kimberley,South Africa,South Africa,agree,high
Rajiv Gandhi International Stadium,6,Hyderabad,India,India,agree,high
McLean Park,6,,New Zealand,New Zealand,agree,high
Namibia Cricket Ground,6,,Namibia,Namibia,agree,high
Barabati Stadium,6,Cuttack,India,India,agree,high
Kennington Oval,6,,England,England,uk,high
Green Park,6,Kanpur,India,India,agree,high
The Village,6,Malahide,Ireland,Ireland,agree,high
Zahur Ahmed Chowdhury Stadium,5,,Bangladesh,Bangladesh,agree,high
Basin Reserve,5,Wellington,New Zealand,New Zealand,agree,high
Mangaung Oval,5,,South Africa,South Africa,agree,high
Senwes Park,5,,South Africa,South Africa,agree,high
Mannofield Park,5,,Scotland,Scotland,uk,high
Dr DY Patil Sports Academy,5,,India,India,agree,high
